,Clearsky DHI,Clearsky DNI,Clearsky GHI,pred_DHI,pred_DNI,pred_GHI
140239,90,786,448,90.86244538426399,795.1646995544434,447.7338019013405
140240,103,790,501,94.9377378821373,822.5366735458374,508.55667877197266
140241,106,811,544,106.92513436079025,819.4321489334106,545.2325894832611
140242,115,804,568,109.03297111392021,826.730465888977,574.17905575037
140243,115,807,580,116.48267820477486,815.818076133728,579.1650235652924
140244,121,787,571,115.67272171378136,810.2757787704468,575.5835510492325
140245,119,775,550,120.31772166490555,784.2055082321167,547.529570043087
140246,124,729,509,116.80617585778236,762.0492744445801,511.7076852321625
140247,119,699,458,120.01215681433678,708.3646535873413,452.8063191175461
140248,117,637,392,112.90606915950775,660.1119899749756,390.95999240875244
140249,106,579,319,108.10711652040482,581.3687562942505,313.4229435324669
140250,90,507,239,93.0118727684021,497.8989362716675,234.47042228281498
140251,70,399,154,72.44266211986542,398.49265575408936,152.70092710852623
140252,41,276,75,42.00598165392876,260.93510150909424,74.52198073267937
140253,10,63,11,6.440134514123201,36.82026505470276,12.25001122802496
140254,0,0,0,-0.8092303387820721,1.6342735290527344,1.5786078572273254
140255,0,0,0,0.9344484470784664,11.060775518417358,1.1071559712290764
140256,0,0,0,0.05096115171909332,4.830355644226074,-1.245145559310913
140257,0,0,0,-0.6432445719838142,-0.32460451126098633,-3.3921694606542587
140258,0,0,0,-3.2938832603394985,-14.114763736724854,-9.497846394777298
140259,0,0,0,0.2789350599050522,-1.7279541492462158,-3.158023551106453
140260,0,0,0,0.08736768737435341,-1.15012526512146,-3.319765120744705
140261,0,0,0,0.3047376684844494,-1.4812695980072021,-2.8254562094807625
140262,0,0,0,0.0911036878824234,-0.9099650382995605,-3.112507499754429
140263,0,0,0,0.26199571788311005,-1.1574864387512207,-2.5220501869916916
140264,0,0,0,0.03821875900030136,-0.5388998985290527,-2.6641977578401566
140265,0,0,0,0.2332695573568344,-0.8670222759246826,-1.9313552752137184
140266,0,0,0,0.06161138415336609,-0.275571346282959,-2.076456993818283
140267,0,0,0,0.26446253061294556,-0.5805253982543945,-1.3463468998670578
140268,0,0,0,0.0781276635825634,-0.02725958824157715,-1.633889228105545
140269,0,0,0,0.18598336726427078,-0.45267343521118164,-1.2595757395029068
140270,0,0,0,-0.045324526727199554,-0.1428687572479248,-1.9376278892159462
140271,0,0,0,0.12086329981684685,-0.8061802387237549,-1.6509567573666573
140272,0,0,0,-0.03739578649401665,-0.8530902862548828,-2.357314869761467
140273,0,0,0,0.14739206060767174,-1.520601511001587,-2.0919405296444893
140274,0,0,0,0.022956933826208115,-1.5897810459136963,-2.743920147418976
140275,0,0,0,0.10684540495276451,-1.9499516487121582,-2.6317892521619797
140276,0,0,0,-0.14647437259554863,-2.0840179920196533,-3.5409302040934563
140277,0,0,0,-0.2480514906346798,-2.768343687057495,-3.7056576013565063
140278,0,0,0,-1.0713607631623745,-5.975134372711182,-5.309340074658394
140279,0,0,0,-1.780670452862978,-8.312159776687622,-6.147399321198463
140280,0,0,0,-2.7359984070062637,-19.271165132522583,-8.326499089598656
140281,0,0,0,10.998177211731672,52.05185055732727,10.722059480845928
140282,26,112,33,32.78623539954424,178.8668179512024,43.68605977669358
140283,55,316,105,56.021872758865356,255.02682209014893,88.56835931539536
140284,77,446,187,64.93528380990028,416.96197986602783,151.71695038676262
140285,92,544,269,88.18996950984001,508.60161781311035,238.44220662117004
140286,108,593,343,102.71995112299919,590.8678007125854,322.49193954467773
140287,117,642,410,117.54957050085068,607.8793954849243,378.35824751853943
140288,133,651,461,125.1518663764,651.9150829315186,442.1102450489998
140289,138,676,504,139.7214011847973,646.5994167327881,476.58149033784866
